dur,spkts,dpkts,sbytes,dbytes,rate,sttl,dttl,sload,dload,sloss,dloss,sinpkt,dinpkt,sjit,djit,swin,stcpb,dtcpb,dwin,tcprtt,synack,ackdat,smean,dmean,trans_depth,response_body_len,ct_srv_src,ct_state_ttl,ct_dst_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,is_ftp_login,ct_ftp_cmd,ct_flw_http_mthd,ct_src_ltm,ct_srv_dst,is_sm_ips_ports,proto,service,state,is_anomaly
1.401009,14,18,1684,10168,22.126911,31,29,8930.707031,54840.47656,3,5,107.743923,82.379059,9320.369073,8160.608214,255,2668223693,560462998,255,0.000724,0.000561,0.000163,120,565,1,3924,3,0,2,1,1,1,0,0,1,3,1,0,tcp,http,FIN,0
0.339365,206,396,11930,495632,1770.954548,31,29,279887.4375,11654260.0,19,178,1.653766,0.857835,100.262428,53.068247,255,3994010597,1852837000,255,0.000648,0.000516,0.000132,58,1252,0,0,7,0,14,6,1,6,0,0,0,9,16,0,tcp,-,FIN,0
0.018162,16,18,1540,1644,1816.980416,31,29,636053.25,684065.625,4,4,1.1894,1.041353,72.199661,2.114288,255,1899881873,4053948793,255,0.000569,0.000454,0.000115,96,91,0,0,23,0,7,6,1,8,0,0,0,10,13,0,tcp,-,FIN,0
3e-06,2,0,104,0,333333.3215,254,0,138666656.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,5,2,1,1,1,1,0,0,0,1,1,0,udp,-,INT,0
0.004812,18,18,3936,2456,7273.48318,31,29,6181214.0,3857024.25,7,7,0.265,0.252882,13.287869,0.33729,255,747466833,750437593,255,0.000641,0.00051,0.000131,219,136,0,0,3,0,2,1,1,1,0,0,0,1,12,0,tcp,-,FIN,0
0.594662,10,8,556,354,28.587668,254,252,6739.962891,4170.436035,2,0,6397.3714,7995.343,634089.5476,20963.7,255,3258042011,478380734,255,0.208651,0.101176,0.107475,56,44,0,0,5,1,4,3,2,5,0,0,0,3,8,0,tcp,-,FIN,0
4e-06,2,0,1064,0,250000.0006,254,0,1064000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,29,2,5,5,1,29,0,0,0,5,29,0,udp,-,INT,0
0.001066,2,2,130,162,2814.258996,31,29,487804.9063,607879.9375,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,2,2,1,1,0,0,0,3,2,0,udp,dns,CON,0
0.001047,2,2,146,178,2865.329359,31,29,557784.125,680038.1875,0,0,0.011,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,1,0,0,0,5,2,0,udp,dns,CON,0
0.012561,38,40,2438,19266,6130.085208,31,29,1511981.5,11964016.0,7,13,0.339583,0.326243,19.435464,17.643223,255,2593925586,2648837879,255,0.000613,0.000487,0.000126,64,482,0,0,2,0,2,1,1,1,0,0,0,2,7,0,tcp,-,FIN,0
0.018371,16,18,1540,1644,1796.309314,31,29,628817.125,676283.25,4,4,1.2036,1.052941,72.75345,2.152216,255,2594578163,2599235814,255,0.000599,0.000467,0.000132,96,91,0,0,9,0,3,5,1,3,0,0,0,11,14,0,tcp,-,FIN,0
0.542341,10,6,534,268,27.657876,254,252,7095.166992,3304.194336,2,1,56.284333,90.681602,3037.534076,142.983609,255,3018588697,2259545407,255,0.1982,0.088924,0.109276,53,45,0,0,3,1,4,2,1,3,0,0,0,2,5,0,tcp,-,FIN,0
0.050325,40,42,2558,23162,1609.538041,31,29,396621.9688,3594396.5,7,14,1.281949,1.214317,0.0,73.770079,255,2240492948,2351010205,255,0.000676,0.000534,0.000142,64,551,0,0,4,0,4,1,1,1,0,0,0,2,8,0,tcp,-,FIN,0
0.562461,10,8,804,1100,30.224317,62,252,10297.60254,13696.94922,2,2,62.495667,75.453141,3365.463513,141.232031,255,1066629261,1546613513,255,0.073628,0.033424,0.040204,80,138,1,147,1,1,1,1,1,1,0,0,1,1,1,0,tcp,http,FIN,0
0.022934,42,42,2646,23508,3619.080986,31,29,901020.375,8005232.5,7,14,0.579462,0.545683,43.383979,1.215414,255,1421717614,1460391201,255,0.000704,0.000557,0.000147,63,560,0,0,6,0,2,1,1,2,0,0,0,5,2,0,tcp,-,FIN,0
59.998463,2,0,92,0,0.016667,0,0,6.133491,0.0,0,0,59999.54,0.0,1.078,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,arp,-,INT,0
0.007815,8,12,424,8824,2431.222112,31,29,379782.5,8280486.5,1,4,1.064429,0.667818,68.604159,36.045313,255,1137154264,3294691470,255,0.00059,0.000464,0.000126,53,735,0,0,3,0,6,1,1,4,0,0,0,5,3,0,tcp,ftp-data,FIN,0
4.66287,10,0,450,0,1.930142,254,0,694.851013,0.0,9,0,518.096656,0.0,663.711312,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,12,6,11,1,1,12,0,0,0,11,12,0,tcp,-,REQ,0
2.388028,12,10,994,822,8.793867,254,252,3055.240723,2479.032959,3,2,214.037452,254.723328,15912.19361,369.543719,255,1545373133,2030093060,255,0.211528,0.095509,0.116019,83,82,0,0,1,1,2,1,1,1,0,0,0,1,1,0,tcp,-,FIN,0
0.057843,68,70,4014,59460,2368.480209,31,29,546997.9375,8106218.5,7,28,0.85806,0.830551,51.996379,49.606103,255,1027884811,3198156448,255,0.000671,0.000534,0.000137,59,849,0,0,6,0,2,1,1,1,0,0,0,3,2,0,tcp,-,FIN,0
2.116807,12,8,4658,354,8.975783,254,252,16137.5127,1171.575928,3,1,192.436996,290.484438,12902.58205,427.445156,255,1960742679,2605439563,255,0.188009,0.07939,0.108619,388,44,0,0,2,1,1,1,1,1,0,0,0,1,1,0,tcp,-,FIN,0
0.145016,54,54,3286,39076,737.849618,31,29,177966.5625,2115794.0,7,20,2.782077,2.777654,158.579313,4.143284,255,3041414547,3041713966,255,0.000932,0.000568,0.000364,61,724,0,0,4,0,2,1,1,1,0,0,0,4,5,0,tcp,-,FIN,0
0.019033,16,18,1540,1644,1733.830727,31,29,606945.8125,652761.0,4,4,1.2482,1.092588,76.998656,2.115117,255,1005045748,1009976060,255,0.000576,0.000457,0.000119,96,91,0,0,6,0,6,6,1,6,0,0,0,8,12,0,tcp,-,FIN,0
3e-06,2,0,90,0,333333.3215,254,0,119999992.0,0.0,1,0,0.003,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,9,6,1,1,1,33,0,0,0,2,4,0,tcp,-,REQ,0
0.456076,14,6,8928,320,41.659724,31,29,145431.9063,4683.430176,4,1,35.082769,91.077602,2883.776166,116.342203,255,2307726686,1252177180,255,0.000707,0.000567,0.00014,638,53,0,0,4,0,6,1,1,2,0,0,0,2,1,0,tcp,ftp-data,FIN,0
1.881487,16,12,1802,682,14.350352,254,252,7185.805664,2661.724365,4,4,123.657671,159.773094,6920.610994,198.477375,255,170134001,560972021,255,0.257657,0.123974,0.133683,113,57,0,0,1,1,1,1,1,1,0,0,0,1,1,0,tcp,ftp,FIN,0
1.826191,6,2,1012,86,3.833115,62,252,3697.313232,188.370224,2,1,365.2382,0.007,21034.6633,0.0,255,395457637,2293494395,255,1.435335,0.231078,1.204257,169,43,0,0,5,3,2,2,1,2,0,0,0,4,2,0,tcp,-,CON,0
1.210879,12,18,1580,10168,23.949545,31,29,9573.210938,63451.42969,3,4,110.048361,71.196233,11341.38583,9134.398557,255,767449138,2918115551,255,0.000696,0.000539,0.000157,132,565,1,0,1,0,1,1,1,1,0,0,1,2,1,0,tcp,http,FIN,0
1.465875,122,126,7816,15132,168.500039,31,29,42306.47266,81927.85938,30,32,12.111785,11.81783,810.093576,800.130043,255,1460402206,3610946746,255,0.000592,0.000461,0.000131,64,120,0,0,5,0,1,1,1,1,0,0,0,5,5,0,tcp,-,FIN,0
0.000963,2,2,146,178,3115.264802,31,29,606438.1875,739356.1875,0,0,0.006,0.004,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,3,1,1,1,0,0,0,3,2,0,udp,dns,CON,0
0.539287,14,6,8928,320,35.231706,31,29,122992.0313,3960.7854,4,1,41.483615,107.726,4178.424142,184.099406,255,365304837,1082999526,255,0.000702,0.000539,0.000163,638,53,0,0,3,0,4,1,1,4,0,0,0,3,3,0,tcp,ftp-data,FIN,0
0.001041,2,2,130,162,2881.844351,31,29,499519.6875,622478.375,0,0,0.011,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,65,81,0,0,4,0,1,1,1,1,0,0,0,1,3,0,udp,dns,CON,0
0.019715,52,54,2934,3740,5325.894004,31,29,1167841.75,1489627.25,11,15,0.39598,0.362868,25.882203,0.594532,255,2343519669,2344510032,255,0.000601,0.000478,0.000123,56,69,0,0,1,0,6,1,1,5,1,1,0,7,1,0,tcp,ftp,FIN,0
0.519177,10,6,588,268,28.89188,254,252,8166.771484,3451.616455,2,1,54.383111,88.052,2728.475246,133.086437,255,835502175,2741977275,255,0.140526,0.078914,0.061612,59,45,0,0,3,1,1,1,1,3,0,0,0,1,3,0,tcp,-,FIN,0
0.048549,72,74,4238,63516,2986.673247,31,29,688788.625,10324909.0,7,30,0.689314,0.665889,42.422597,40.388251,255,4153014694,2007920307,255,0.000749,0.000599,0.00015,59,858,0,0,5,0,2,1,1,2,0,0,0,7,4,0,tcp,-,FIN,0
9e-06,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,10,6,4,1,1,9,0,0,0,4,10,0,tcp,-,REQ,0
0.001003,2,2,132,164,2991.027057,31,29,526420.75,654037.9375,0,0,0.008,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,1,0,7,1,1,1,0,0,0,2,7,0,udp,dns,CON,0
0.000937,2,2,146,178,3201.707662,31,29,623265.75,759871.9375,0,0,0.009,0.003,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,1,0,0,0,2,3,0,udp,dns,CON,0
0.251138,6,2,998,86,27.873121,62,252,26503.35742,1369.764771,2,1,50.2276,0.007,3247.241226,0.0,255,3534768653,2720492940,255,0.228521,0.128849,0.099672,166,43,0,0,3,3,2,2,1,3,0,0,0,2,3,0,tcp,-,CON,0
0.005398,22,14,1470,1728,6483.88277,31,29,2080770.625,2378658.75,5,4,0.257048,0.359615,17.415387,0.435002,255,350986883,351296280,255,0.000738,0.000607,0.000131,67,123,0,0,3,0,4,3,1,1,0,0,0,3,7,0,tcp,-,FIN,0
4e-06,2,0,1066,0,250000.0006,254,0,1066000000.0,0.0,0,0,0.004,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,533,0,0,0,23,2,7,7,1,23,0,0,0,7,23,0,udp,-,INT,0
0.004629,18,18,4528,2456,7561.028153,31,29,7391661.0,4009505.25,7,7,0.254176,0.243471,12.46446,0.312136,255,3959037485,1812477174,255,0.000619,0.000487,0.000132,252,136,0,0,15,0,2,1,1,3,0,0,0,3,5,0,tcp,-,FIN,0
0.001125,2,2,146,178,2666.666781,31,29,519111.125,632888.9375,0,0,0.012,0.009,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,6,0,2,2,1,1,0,0,0,4,2,0,udp,dns,CON,0
46.518551,3,3,84,138,0.107484,0,0,9.630567,15.821645,0,0,23259.208,23259.2,0.499,0.0,0,0,0,0,0.0,0.0,0.0,28,46,0,0,1,0,1,1,1,1,0,0,0,1,1,0,arp,-,CON,0
1.16008,14,18,1684,10168,26.722296,31,29,10785.46387,66229.91406,3,5,89.210849,68.212941,8835.048434,7736.634749,255,2947006703,863100328,255,0.000587,0.000457,0.00013,120,565,1,3924,3,0,2,1,1,8,0,0,1,2,3,0,tcp,http,FIN,0
0.017347,48,50,2958,32642,5591.744796,31,29,1336023.5,14752983.0,7,18,0.377467,0.342857,0.0,19.032852,255,866846590,3031687298,255,0.000706,0.000543,0.000163,62,653,0,0,6,0,2,1,1,3,0,0,0,3,5,0,tcp,-,FIN,0
0.00095,2,2,146,178,3157.894684,31,29,614736.8125,749473.6875,0,0,0.003,0.008,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,1,1,1,1,0,0,0,3,3,0,udp,dns,CON,0
0.698933,10,8,978,354,24.322789,254,252,10083.94238,3548.265625,2,1,75.095,91.408141,4434.29106,153.668219,255,1460044629,3946982465,255,0.123066,0.059068,0.063998,98,44,0,0,8,1,1,1,1,2,0,0,0,2,2,0,tcp,-,FIN,0
0.001047,2,2,132,164,2865.329359,31,29,504297.9688,626552.0,0,0,0.007,0.006,0.0,0.0,0,0,0,0,0.0,0.0,0.0,66,82,0,0,3,0,2,1,1,2,0,0,0,5,2,0,udp,dns,CON,0
0.166492,6,2,978,86,42.044062,62,252,39161.03906,2066.165283,2,1,33.2984,0.001,2180.152031,0.0,255,3116523398,3143201971,255,0.153642,0.081759,0.071883,163,43,0,0,5,3,5,5,1,5,0,0,0,5,5,0,tcp,-,CON,0
0.018911,16,18,1540,1644,1745.016097,31,29,610861.375,656972.125,4,4,1.239733,1.151375,74.829283,2.403282,255,590812709,595195834,255,0.000814,0.000487,0.000327,96,91,0,0,10,0,11,5,1,6,0,0,0,7,12,0,tcp,-,FIN,0
0.070071,66,68,3926,57474,1898.074894,31,29,441495.0625,6465328.5,7,27,1.073154,1.053909,63.937958,61.502563,255,1079794693,3260243630,255,0.000622,0.000509,0.000113,59,845,0,0,9,0,6,1,1,5,0,0,0,4,6,0,tcp,-,FIN,0
0.878387,16,10,1540,556,28.46126,254,252,13151.37891,4562.90918,5,3,55.830733,88.601445,2875.591306,128.327414,255,3705113061,4086382806,255,0.120226,0.080965,0.039261,96,56,0,0,6,1,1,1,1,5,0,0,0,1,5,0,tcp,-,FIN,0
0.342861,6,2,998,86,20.416437,62,252,19413.11523,1003.322083,2,1,68.5722,0.038,3439.595124,0.0,255,3979000515,3578732039,255,0.185664,0.092774,0.09289,166,43,0,0,6,3,3,3,1,6,0,0,0,4,6,0,tcp,-,CON,0
2.24418,14,14,814,764,12.031121,254,252,2694.970947,2530.991211,4,4,172.563226,165.131844,12601.55497,290.009469,255,2816693959,4276420168,255,0.203423,0.097461,0.105962,58,55,0,0,3,1,1,1,1,3,0,0,0,1,3,0,tcp,-,FIN,0
0.624819,52,54,2934,3740,168.048672,31,29,36849.07422,47002.41406,11,15,12.229961,11.780264,1595.164331,49.200449,255,1844242111,1845267622,255,0.000588,0.00046,0.000128,56,69,0,0,1,0,11,1,1,4,1,1,0,6,2,0,tcp,ftp,FIN,0
1.024635,6,2,978,86,6.831701,62,252,6363.241699,335.729309,2,1,204.927,0.008,10370.39654,0.0,255,99475155,3396980980,255,0.431648,0.270342,0.161306,163,43,0,0,2,3,1,1,1,2,0,0,0,1,2,0,tcp,-,CON,0
0.801247,10,8,806,1084,21.216928,62,252,7248.701172,9475.230469,2,2,88.905889,99.62443,4579.26625,166.960531,255,4090813475,1610408233,255,0.162206,0.103867,0.058339,81,136,1,140,3,1,1,1,1,3,0,0,1,1,3,0,tcp,http,FIN,0
0.004628,18,18,4096,2456,7562.662303,31,29,6687986.5,4010371.75,7,7,0.254059,0.244647,12.624362,0.321194,255,2327017549,180591199,255,0.00059,0.000465,0.000125,228,136,0,0,11,0,8,1,1,3,0,0,0,6,9,0,tcp,-,FIN,0
0.603094,10,6,534,268,24.871745,254,252,6380.431641,2971.344482,2,1,63.859,106.55,3319.299675,152.021281,255,3420536579,1299994375,255,0.106046,0.070338,0.035708,53,45,0,0,4,1,1,1,1,4,0,0,0,2,4,0,tcp,-,FIN,0
0.000959,2,2,146,178,3128.258517,31,29,608967.6875,742440.0,0,0,0.004,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,1,0,4,1,1,1,0,0,0,1,2,0,udp,dns,CON,0
0.001185,2,2,146,178,2531.645692,31,29,492827.0313,600843.9375,0,0,0.006,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,1,1,1,2,0,0,0,2,2,0,udp,dns,CON,0
0.001712,4,4,544,304,4088.785053,31,29,1906542.0,1065420.5,0,0,0.446667,0.206333,0.627439,0.286153,0,0,0,0,0.0,0.0,0.0,136,76,0,0,7,0,7,1,1,3,0,0,0,7,12,0,udp,-,CON,0
0.718975,14,6,8928,320,26.42651,31,29,92253.55469,2970.895996,4,1,55.305768,143.662406,4702.270352,193.373703,255,2054440954,1490569990,255,0.000664,0.00053,0.000134,638,53,0,0,3,0,1,1,1,1,0,0,0,1,3,0,tcp,ftp-data,FIN,0
1.64463,10,6,654,268,9.120593,254,252,2865.082275,1089.606812,2,1,182.619778,311.654,12741.21528,577.338062,255,1786708138,446053786,255,0.23182,0.086354,0.145466,65,45,0,0,2,1,1,1,1,2,0,0,0,1,2,0,tcp,-,FIN,0
0.001094,2,2,146,178,2742.230477,31,29,533820.875,650822.6875,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,2,1,1,3,0,0,0,2,2,0,udp,dns,CON,0
1.182655,354,746,18890,1087890,929.265104,31,29,127421.7813,7349105.5,2,370,3.349414,1.586705,188.310024,114.563668,255,1727893154,3878515432,255,0.000687,0.000557,0.00013,53,1458,1,524288,2,0,3,1,1,3,0,0,1,6,2,0,tcp,http,FIN,0
0.040323,16,18,1540,1644,818.391481,31,29,286486.625,308112.0,4,4,2.663267,2.343823,195.084592,4.362685,255,300351546,2454163980,255,0.000623,0.000472,0.000151,96,91,0,0,6,0,6,6,1,6,0,0,0,8,8,0,tcp,-,FIN,0
9e-06,2,0,104,0,111111.1072,254,0,46222220.0,0.0,0,0,0.009,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,52,0,0,0,4,2,1,1,1,4,0,0,0,1,4,0,udp,-,INT,0
0.009848,36,38,2334,16290,7412.672962,31,29,1844029.375,12885460.0,7,12,0.272371,0.248838,16.673332,15.57362,255,3195356004,1046118220,255,0.000785,0.000631,0.000154,65,429,0,0,11,0,2,1,1,1,0,0,0,7,11,0,tcp,-,FIN,0
2.285739,10,8,534,354,7.43742,254,252,1683.481812,1084.988281,2,1,253.866889,310.030844,15184.61565,535.219,255,242864548,3942134711,255,0.190511,0.115514,0.074997,53,44,0,0,3,1,1,1,1,3,0,0,0,1,3,0,tcp,-,FIN,0
1.1e-05,2,0,742,0,90909.0902,254,0,269818176.0,0.0,0,0,0.011,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,371,0,0,0,3,2,1,1,1,3,0,0,0,1,3,0,udp,-,INT,0
0.828617,20,8,17802,354,32.584416,254,252,163279.2969,2992.938965,7,1,42.171525,106.049,3673.668996,143.363078,255,1314603036,750873894,255,0.14899,0.086271,0.062719,890,44,0,0,4,1,1,1,1,3,0,0,0,3,2,0,tcp,-,FIN,0
1.00639,12,18,1580,10168,28.815867,31,29,11518.39746,76344.16406,3,5,91.458545,59.168999,9529.775559,7674.130289,255,2353245053,2354237101,255,0.000637,0.000513,0.000124,132,565,1,3924,1,0,2,1,1,1,0,0,1,1,2,0,tcp,http,FIN,0
0.029895,72,74,4238,63618,4850.30939,31,29,1118581.75,16794514.0,7,30,0.422314,0.407917,0.0,21.549725,255,3752082354,3761422604,255,0.000637,0.000521,0.000116,59,860,0,0,12,0,2,1,1,1,0,0,0,3,3,0,tcp,-,FIN,0
6.97188,10,8,738,354,2.438367,254,252,763.065369,355.714661,2,1,774.653333,978.122313,50660.52732,1512.58625,255,978395135,3313248946,255,0.205863,0.124172,0.081691,74,44,0,0,5,1,3,1,1,1,0,0,0,3,3,0,tcp,-,FIN,0
0.47771,10,6,1162,268,31.399803,254,252,17516.90234,3751.229736,2,1,49.777111,72.964398,2628.853805,108.134703,255,2097834405,2796956293,255,0.193563,0.112879,0.080684,116,45,0,0,4,1,2,2,1,4,0,0,0,2,4,0,tcp,-,FIN,0
3e-06,2,0,784,0,333333.3215,254,0,1045333312.0,0.0,0,0,0.003,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,392,0,0,0,6,2,2,1,1,6,0,0,0,2,6,0,udp,-,INT,0
0.440103,10,6,552,268,34.082931,254,252,9034.249023,4071.77417,2,1,45.209,71.715398,2241.419551,99.584812,255,1822567480,3835157628,255,0.131969,0.081518,0.050451,55,45,0,0,4,1,1,1,1,4,0,0,0,2,4,0,tcp,-,FIN,0
9e-06,2,0,90,0,111111.1072,254,0,40000000.0,0.0,1,0,0.009,0.0,0.0,0.0,255,0,0,0,0.0,0.0,0.0,45,0,0,0,4,6,1,1,1,2,0,0,0,1,2,0,tcp,-,REQ,0
0.034095,122,126,7818,15800,7244.463897,31,29,1819387.0,3677958.5,30,32,0.296123,0.268616,19.934868,16.367984,255,2551317818,2556489629,255,0.000624,0.000513,0.000111,64,125,0,0,6,0,4,1,1,1,0,0,0,5,7,0,tcp,-,FIN,0
0.027836,66,68,3926,57474,4777.985249,31,29,1111366.5,16275039.0,7,27,0.423554,0.407955,22.057723,21.760032,255,3939227631,1806718798,255,0.000649,0.000498,0.000151,59,845,0,0,13,0,2,1,1,3,0,0,0,1,6,0,tcp,-,FIN,0
0.00104,2,2,146,178,2884.615377,31,29,561538.4375,684615.375,0,0,0.009,0.007,0.0,0.0,0,0,0,0,0.0,0.0,0.0,73,89,0,0,2,0,3,1,1,2,0,0,0,2,2,0,udp,dns,CON,0
1e-05,2,0,1064,0,100000.0025,254,0,425600000.0,0.0,0,0,0.01,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,532,0,0,0,34,2,7,7,1,34,0,0,0,7,34,0,udp,-,INT,0
0.027884,66,68,3926,57474,4769.76028,31,29,1109453.375,16247023.0,7,27,0.424169,0.414424,22.181533,22.375637,255,3630513230,1493201969,255,0.000654,0.000529,0.000125,59,845,0,0,6,0,6,1,1,2,0,0,0,3,7,0,tcp,-,FIN,0
0.165088,22,24,2054,2478,272.581899,31,29,95028.10938,115090.1328,6,6,7.844952,7.15413,481.274434,460.141689,255,2727326549,582226832,255,0.000661,0.000533,0.000128,93,103,0,0,7,0,1,1,1,1,0,0,0,2,1,0,tcp,-,FIN,0
0.0,1,0,46,0,0.0,0,0,0.0,0.0,0,0,60000.804,0.0,0.0,0.0,0,0,0,0,0.0,0.0,0.0,46,0,0,0,2,2,2,2,2,2,0,0,0,2,2,1,arp,-,INT,0
1.005977,12,18,1580,10168,28.827696,31,29,11523.12598,76375.5,3,5,91.420091,59.144057,9530.688439,7676.204085,255,194226333,195230432,255,0.000655,0.000522,0.000133,132,565,1,3924,1,0,4,1,1,5,0,0,1,3,1,0,tcp,http,FIN,0
0.411202,16,18,1540,1644,80.252525,31,29,28093.24805,30213.85938,4,4,27.391066,24.157234,1739.848162,42.353508,255,3228532700,3260890566,255,0.000686,0.000527,0.000159,96,91,0,0,9,0,7,5,1,5,0,0,0,9,7,0,tcp,-,FIN,0
1.739587,10,10,608,646,10.922133,254,252,2520.138428,2676.497314,2,3,193.237111,181.247781,12671.22213,300.149031,255,1717483649,1402887784,255,0.237814,0.108348,0.129466,61,65,0,0,3,1,1,1,1,1,0,0,0,2,1,0,tcp,-,FIN,0
1.60248,10,8,756,354,10.608556,254,252,3399.730225,1547.601196,2,1,178.000778,218.465578,10935.09195,326.246844,255,2140804129,133353415,255,0.148299,0.073215,0.075084,76,44,0,0,4,1,1,1,1,1,0,0,0,2,1,0,tcp,-,FIN,0
1.097046,10,8,574,354,15.496159,254,252,3770.124512,2260.616211,2,1,118.988222,145.479578,6790.227071,297.406375,255,3736692466,3579904699,255,0.158864,0.078686,0.080178,57,44,0,0,10,1,2,3,1,4,0,0,0,3,5,0,tcp,-,FIN,0
0.034435,28,42,2198,34406,2003.775213,31,29,492522.125,7802991.0,5,15,1.263667,0.827268,71.508937,58.884633,255,352395498,2501303529,255,0.000635,0.000513,0.000122,79,819,0,0,23,0,7,12,1,7,0,0,0,17,6,0,tcp,-,FIN,0
0.010899,38,40,2438,19266,7064.868421,31,29,1742545.25,13788421.0,7,13,0.293222,0.266128,17.143172,16.369161,255,4023990960,1902891145,255,0.000631,0.000515,0.000116,64,482,0,0,4,0,1,1,1,2,0,0,0,3,6,0,tcp,-,FIN,0
1.54155,10,10,822,1144,12.325257,62,252,3840.290527,5345.269043,2,2,192.69375,157.083672,301.092531,268.926531,255,3768218953,1693941549,255,0.177878,0.104113,0.073765,82,114,1,215,3,1,2,2,2,3,0,0,4,2,3,0,tcp,http,FIN,0
